No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime
1,4.0,4.0,14.0,20.0,300.0,69.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,Guanyuan,2013-03-01 00:00:00
2,4.0,4.0,13.0,17.0,300.0,72.0,-1.1,1023.2,-18.2,0.0,N,4.7,Guanyuan,2013-03-01 01:00:00
3,3.0,3.0,10.0,19.0,300.0,69.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,Guanyuan,2013-03-01 02:00:00
4,3.0,6.0,7.0,24.0,400.0,62.0,-1.4,1024.5,-19.4,0.0,NW,3.1,Guanyuan,2013-03-01 03:00:00
5,3.0,6.0,5.0,14.0,400.0,71.0,-2.0,1025.2,-19.5,0.0,N,2.0,Guanyuan,2013-03-01 04:00:00
6,3.0,6.0,6.0,14.0,400.0,71.0,-2.2,1025.6,-19.6,0.0,N,3.7,Guanyuan,2013-03-01 05:00:00
7,6.0,6.0,6.0,20.0,400.0,66.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,Guanyuan,2013-03-01 06:00:00
8,3.0,3.0,7.0,26.0,400.0,61.0,-1.6,1027.4,-19.1,0.0,NNW,3.8,Guanyuan,2013-03-01 07:00:00
9,3.0,6.0,9.0,37.0,500.0,50.0,0.1,1028.3,-19.2,0.0,NNW,4.1,Guanyuan,2013-03-01 08:00:00
10,7.0,11.0,9.0,30.0,400.0,58.0,1.2,1028.5,-19.3,0.0,N,2.6,Guanyuan,2013-03-01 09:00:00
11,3.0,8.0,11.0,26.0,400.0,65.0,1.9,1028.2,-19.4,0.0,NNW,3.6,Guanyuan,2013-03-01 10:00:00
12,3.0,6.0,8.0,23.0,300.0,70.0,2.9,1028.2,-20.5,0.0,N,3.7,Guanyuan,2013-03-01 11:00:00
13,7.0,14.0,6.0,23.0,300.0,73.0,3.9,1027.3,-19.7,0.0,NNW,5.1,Guanyuan,2013-03-01 12:00:00
14,12.0,14.0,4.0,20.0,300.0,78.0,5.3,1026.2,-19.3,0.0,NW,4.3,Guanyuan,2013-03-01 13:00:00
15,14.0,16.0,4.0,21.0,300.0,79.0,6.0,1025.9,-19.6,0.0,NW,4.4,Guanyuan,2013-03-01 14:00:00
16,12.0,21.0,3.0,21.0,300.0,79.0,6.2,1025.7,-18.6,0.0,NNE,2.8,Guanyuan,2013-03-01 15:00:00
17,13.0,22.0,5.0,21.0,300.0,78.0,5.9,1025.6,-18.1,0.0,NNW,3.9,Guanyuan,2013-03-01 16:00:00
18,9.0,28.0,6.0,27.0,400.0,70.0,4.3,1026.3,-18.7,0.0,NNE,2.8,Guanyuan,2013-03-01 17:00:00
19,10.0,21.0,8.0,35.0,500.0,61.0,3.1,1027.4,-18.4,0.0,NNE,2.1,Guanyuan,2013-03-01 18:00:00
20,13.0,17.0,3.0,43.0,500.0,52.0,2.3,1028.3,-18.4,0.0,N,2.8,Guanyuan,2013-03-01 19:00:00
21,12.0,14.0,14.0,41.0,500.0,52.0,1.7,1029.1,-17.3,0.0,N,2.1,Guanyuan,2013-03-01 20:00:00
22,11.0,14.0,24.0,51.0,500.0,42.0,0.6,1030.1,-16.7,0.0,ENE,0.8,Guanyuan,2013-03-01 21:00:00
23,10.0,15.0,11.0,60.0,600.0,31.0,0.9,1030.5,-17.4,0.0,ENE,1.8,Guanyuan,2013-03-01 22:00:00
24,13.0,15.0,11.0,51.0,600.0,37.0,-0.2,1030.5,-17.4,0.0,ENE,1.4,Guanyuan,2013-03-01 23:00:00
25,6.0,15.0,16.0,44.0,500.0,46.0,-0.4,1031.0,-17.6,0.0,ENE,1.4,Guanyuan,2013-03-02 00:00:00
26,3.0,8.0,14.0,33.0,400.0,57.0,-1.0,1031.3,-17.3,0.0,NNE,1.1,Guanyuan,2013-03-02 01:00:00
30,3.0,6.0,15.0,59.0,500.0,32.0,-1.8,1030.1,-17.5,0.0,NNE,2.0,Guanyuan,2013-03-02 05:00:00
31,3.0,6.0,13.0,59.0,500.0,30.0,-2.5,1029.6,-17.7,0.0,NW,0.7,Guanyuan,2013-03-02 06:00:00
32,3.0,6.0,27.0,72.0,600.0,17.0,-1.7,1029.8,-17.0,0.0,NE,1.2,Guanyuan,2013-03-02 07:00:00
