No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime
21,13.0,25.0,12.0,5.0,1100.0,61.0,1.6,1027.1,-18.4,0.0,ESE,1.9,Gucheng,2013-03-01 20:00:00
22,15.0,23.0,14.0,13.0,1200.0,52.0,1.0,1028.1,-17.4,0.0,SSE,0.7,Gucheng,2013-03-01 21:00:00
23,16.0,28.0,16.0,19.0,1200.0,45.0,1.3,1028.4,-17.6,0.0,E,1.0,Gucheng,2013-03-01 22:00:00
24,16.0,28.0,14.0,20.0,1100.0,44.0,0.2,1028.6,-17.6,0.0,ESE,1.1,Gucheng,2013-03-01 23:00:00
25,14.0,18.0,24.0,43.0,1399.0,25.0,-0.3,1028.9,-18.0,0.0,ENE,1.4,Gucheng,2013-03-02 00:00:00
26,18.0,39.0,25.0,28.0,1300.0,37.0,-0.7,1029.2,-17.9,0.0,E,1.0,Gucheng,2013-03-02 01:00:00
27,19.0,29.0,30.0,13.0,1100.0,47.0,-0.8,1028.8,-18.0,0.0,ENE,1.4,Gucheng,2013-03-02 02:00:00
28,15.0,24.0,20.0,12.0,1000.0,46.0,-1.2,1028.6,-17.9,0.0,ENE,1.1,Gucheng,2013-03-02 03:00:00
29,13.0,16.0,21.0,24.0,1200.0,37.0,-1.3,1028.7,-18.9,0.0,NE,1.1,Gucheng,2013-03-02 04:00:00
30,12.0,23.0,26.0,11.0,1200.0,50.0,-1.3,1028.0,-18.4,0.0,ENE,1.4,Gucheng,2013-03-02 05:00:00
32,3.0,6.0,19.0,11.0,1100.0,52.0,-1.3,1028.0,-17.9,0.0,ESE,0.6,Gucheng,2013-03-02 07:00:00
33,3.0,9.0,22.0,15.0,1200.0,51.0,-0.6,1027.7,-17.8,0.0,NNE,0.9,Gucheng,2013-03-02 08:00:00
34,10.0,15.0,30.0,27.0,1200.0,42.0,0.3,1027.8,-17.5,0.0,SW,0.7,Gucheng,2013-03-02 09:00:00
35,15.0,17.0,34.0,45.0,1300.0,30.0,1.7,1027.2,-17.3,0.0,SW,1.9,Gucheng,2013-03-02 10:00:00
36,20.0,31.0,27.0,45.0,1399.0,31.0,2.5,1026.4,-17.1,0.0,SSW,2.0,Gucheng,2013-03-02 11:00:00
37,26.0,36.0,26.0,23.0,1200.0,49.0,3.1,1025.1,-17.2,0.0,SSW,2.2,Gucheng,2013-03-02 12:00:00
38,31.0,43.0,23.0,6.0,1100.0,65.0,3.5,1023.7,-17.4,0.0,SSE,1.2,Gucheng,2013-03-02 13:00:00
39,32.0,36.0,26.0,12.0,1200.0,62.0,3.7,1022.9,-16.7,0.0,SSE,1.1,Gucheng,2013-03-02 14:00:00
40,36.0,37.0,40.0,22.0,1600.0,59.0,3.8,1022.3,-16.0,0.0,SSE,1.2,Gucheng,2013-03-02 15:00:00
41,47.0,66.0,47.0,30.0,1600.0,55.0,3.6,1021.7,-15.1,0.0,S,1.4,Gucheng,2013-03-02 16:00:00
42,59.0,80.0,50.0,32.0,1500.0,51.0,3.2,1021.6,-14.5,0.0,SSE,1.4,Gucheng,2013-03-02 17:00:00
43,63.0,88.0,50.0,36.0,1600.0,50.0,2.8,1021.2,-13.9,0.0,S,0.6,Gucheng,2013-03-02 18:00:00
44,70.0,102.0,62.0,62.0,1899.0,26.0,1.4,1021.1,-13.5,0.0,E,0.7,Gucheng,2013-03-02 19:00:00
45,86.0,125.0,66.0,89.0,2100.0,6.0,1.4,1021.1,-14.7,0.0,E,0.9,Gucheng,2013-03-02 20:00:00
46,98.0,147.0,67.0,84.0,2200.0,7.0,0.5,1020.7,-13.6,0.0,SE,0.6,Gucheng,2013-03-02 21:00:00
47,98.0,126.0,71.0,97.0,2500.0,5.0,-0.8,1020.2,-12.7,0.0,NNW,0.6,Gucheng,2013-03-02 22:00:00
48,86.0,108.0,71.0,97.0,2600.0,5.0,-1.9,1019.2,-11.5,0.0,NW,0.0,Gucheng,2013-03-02 23:00:00
49,81.0,108.0,64.0,91.0,2500.0,4.0,-2.5,1018.4,-11.0,0.0,WNW,0.5,Gucheng,2013-03-03 00:00:00
50,80.0,99.0,66.0,85.0,3000.0,5.0,-2.6,1017.6,-10.9,0.0,SW,0.2,Gucheng,2013-03-03 01:00:00
51,84.0,106.0,66.0,74.0,3799.0,5.0,-3.1,1016.2,-11.1,0.0,SE,0.8,Gucheng,2013-03-03 02:00:00
52,87.0,137.0,50.0,61.0,2600.0,5.0,-3.6,1015.4,-11.6,0.0,SW,0.2,Gucheng,2013-03-03 03:00:00
53,79.0,92.0,42.0,39.0,2100.0,10.0,-4.2,1014.9,-11.2,0.0,ESE,0.0,Gucheng,2013-03-03 04:00:00
54,54.0,71.0,56.0,78.0,3799.0,5.0,-4.4,1014.5,-11.0,0.0,N,0.0,Gucheng,2013-03-03 05:00:00
55,76.0,94.0,47.0,65.0,3700.0,4.0,-4.7,1014.4,-11.5,0.0,NW,0.9,Gucheng,2013-03-03 06:00:00
56,82.0,110.0,46.0,53.0,2899.0,4.0,-2.5,1014.7,-10.3,0.0,SSE,0.9,Gucheng,2013-03-03 07:00:00
57,78.0,88.0,52.0,52.0,2899.0,6.0,1.2,1014.1,-12.6,0.0,NE,0.5,Gucheng,2013-03-03 08:00:00
58,77.0,99.0,60.0,66.0,3399.0,9.0,3.8,1013.6,-12.6,0.0,SSW,0.5,Gucheng,2013-03-03 09:00:00
59,87.0,113.0,80.0,86.0,3000.0,14.0,6.4,1012.8,-12.2,0.0,SE,1.4,Gucheng,2013-03-03 10:00:00
60,97.0,115.0,74.0,94.0,3000.0,16.0,10.5,1011.7,-12.2,0.0,SSE,1.4,Gucheng,2013-03-03 11:00:00
61,102.0,138.0,68.0,109.0,3100.0,18.0,14.1,1010.4,-12.2,0.0,WNW,3.0,Gucheng,2013-03-03 12:00:00
62,113.0,184.0,66.0,81.0,2399.0,51.0,16.0,1009.3,-13.5,0.0,WNW,2.6,Gucheng,2013-03-03 13:00:00
63,127.0,194.0,53.0,51.0,1800.0,71.0,16.6,1008.7,-13.0,0.0,WNW,2.4,Gucheng,2013-03-03 14:00:00
65,61.0,112.0,20.0,6.0,1100.0,79.0,15.8,1008.4,-11.7,0.0,WNW,1.9,Gucheng,2013-03-03 16:00:00
66,44.0,119.0,25.0,13.0,1300.0,80.0,12.1,1009.1,-9.0,0.0,NW,1.7,Gucheng,2013-03-03 17:00:00
67,78.0,178.0,81.0,90.0,2299.0,51.0,14.6,1010.1,-13.6,0.0,NNW,4.4,Gucheng,2013-03-03 18:00:00
68,150.0,268.0,60.0,81.0,2100.0,40.0,13.8,1011.3,-13.3,0.0,W,1.2,Gucheng,2013-03-03 19:00:00
71,14.0,32.0,12.0,3.0,1100.0,63.0,9.4,1011.9,-11.9,0.0,WNW,1.4,Gucheng,2013-03-03 22:00:00
72,20.0,43.0,24.0,52.0,1800.0,17.0,11.0,1012.7,-11.8,0.0,E,0.5,Gucheng,2013-03-03 23:00:00
73,28.0,59.0,23.0,18.0,1600.0,47.0,10.1,1013.6,-11.9,0.0,NNE,3.5,Gucheng,2013-03-04 00:00:00
77,13.0,40.0,10.0,2.0,1000.0,52.0,7.2,1015.8,-13.1,0.0,SW,0.9,Gucheng,2013-03-04 04:00:00
81,7.0,21.0,17.0,46.0,1500.0,24.0,8.7,1018.7,-11.3,0.0,SE,1.5,Gucheng,2013-03-04 08:00:00
82,15.0,49.0,24.0,39.0,1600.0,31.0,10.1,1018.5,-11.9,0.0,ESE,3.2,Gucheng,2013-03-04 09:00:00
83,19.0,50.0,21.0,32.0,1399.0,47.0,11.1,1018.4,-12.4,0.0,SSE,1.8,Gucheng,2013-03-04 10:00:00
84,19.0,35.0,15.0,2.0,1100.0,67.0,12.7,1017.6,-12.5,0.0,ESE,1.8,Gucheng,2013-03-04 11:00:00
91,32.0,55.0,12.0,3.0,1000.0,94.0,11.2,1014.5,-11.6,0.0,WSW,0.9,Gucheng,2013-03-04 18:00:00
92,38.0,82.0,17.0,16.0,1100.0,76.0,9.7,1014.7,-10.5,0.0,W,1.7,Gucheng,2013-03-04 19:00:00
93,45.0,96.0,34.0,36.0,1399.0,52.0,8.4,1014.9,-10.5,0.0,SSE,1.0,Gucheng,2013-03-04 20:00:00
94,57.0,108.0,39.0,42.0,1399.0,44.0,7.8,1015.0,-10.1,0.0,W,1.6,Gucheng,2013-03-04 21:00:00
95,72.0,106.0,51.0,74.0,1899.0,15.0,5.8,1014.6,-10.1,0.0,WNW,0.9,Gucheng,2013-03-04 22:00:00
96,83.0,156.0,70.0,82.0,2000.0,107.0,5.9,1013.7,-10.0,0.0,WNW,1.3,Gucheng,2013-03-04 23:00:00
97,99.0,156.0,83.0,85.0,2100.0,107.0,5.7,1013.3,-9.7,0.0,W,0.9,Gucheng,2013-03-05 00:00:00
98,111.0,159.0,63.0,62.0,2100.0,107.0,3.0,1012.7,-8.4,0.0,NE,0.5,Gucheng,2013-03-05 01:00:00
102,95.0,158.0,50.0,59.0,3299.0,107.0,-0.2,1011.9,-8.2,0.0,NW,0.4,Gucheng,2013-03-05 05:00:00
103,86.0,108.0,52.0,77.0,2899.0,107.0,0.1,1011.7,-7.9,0.0,WNW,0.2,Gucheng,2013-03-05 06:00:00
104,88.0,124.0,63.0,80.0,3299.0,107.0,1.6,1011.5,-8.0,0.0,NNW,0.2,Gucheng,2013-03-05 07:00:00
105,93.0,134.0,69.0,77.0,4099.0,107.0,5.4,1011.3,-10.0,0.0,SE,2.3,Gucheng,2013-03-05 08:00:00
106,98.0,137.0,78.0,87.0,3200.0,107.0,7.7,1010.7,-9.3,0.0,ESE,1.7,Gucheng,2013-03-05 09:00:00
107,109.0,151.0,78.0,84.0,2899.0,107.0,9.0,1009.9,-9.0,0.0,SE,2.9,Gucheng,2013-03-05 10:00:00
131,209.0,240.0,116.0,150.0,3799.0,11.0,9.6,1006.7,-5.1,0.0,ENE,1.3,Gucheng,2013-03-06 10:00:00
