No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime
1,5.0,14.0,4.0,12.0,200.0,85.0,-0.5,1024.5,-21.4,0.0,NNW,5.7,Nongzhanguan,2013-03-01 00:00:00
2,8.0,12.0,6.0,14.0,200.0,84.0,-0.7,1025.1,-22.1,0.0,NW,3.9,Nongzhanguan,2013-03-01 01:00:00
3,3.0,6.0,5.0,14.0,200.0,83.0,-1.2,1025.3,-24.6,0.0,NNW,5.3,Nongzhanguan,2013-03-01 02:00:00
4,5.0,5.0,5.0,14.0,200.0,84.0,-1.4,1026.2,-25.5,0.0,N,4.9,Nongzhanguan,2013-03-01 03:00:00
5,5.0,5.0,6.0,21.0,200.0,77.0,-1.9,1027.1,-24.5,0.0,NNW,3.2,Nongzhanguan,2013-03-01 04:00:00
6,3.0,3.0,13.0,21.0,300.0,77.0,-2.4,1027.5,-21.3,0.0,NW,2.4,Nongzhanguan,2013-03-01 05:00:00
7,4.0,4.0,15.0,32.0,300.0,62.0,-2.5,1028.2,-20.4,0.0,NW,2.2,Nongzhanguan,2013-03-01 06:00:00
8,3.0,7.0,14.0,45.0,400.0,48.0,-1.4,1029.5,-20.4,0.0,NNW,3.0,Nongzhanguan,2013-03-01 07:00:00
9,3.0,6.0,13.0,49.0,400.0,46.0,-0.3,1030.4,-21.2,0.0,NW,4.6,Nongzhanguan,2013-03-01 08:00:00
10,11.0,14.0,9.0,28.0,400.0,68.0,0.4,1030.5,-23.3,0.0,N,5.5,Nongzhanguan,2013-03-01 09:00:00
11,3.0,7.0,6.0,20.0,300.0,77.0,1.4,1030.2,-22.5,0.0,N,5.2,Nongzhanguan,2013-03-01 10:00:00
12,3.0,6.0,6.0,19.0,300.0,81.0,2.9,1029.8,-22.9,0.0,NNW,5.3,Nongzhanguan,2013-03-01 11:00:00
13,3.0,6.0,4.0,17.0,300.0,86.0,4.0,1028.6,-21.2,0.0,W,4.6,Nongzhanguan,2013-03-01 12:00:00
14,3.0,6.0,4.0,17.0,300.0,87.0,5.0,1027.8,-21.2,0.0,NW,4.5,Nongzhanguan,2013-03-01 13:00:00
15,6.0,11.0,4.0,19.0,300.0,86.0,6.2,1027.6,-22.2,0.0,NW,4.0,Nongzhanguan,2013-03-01 14:00:00
16,5.0,13.0,4.0,18.0,300.0,89.0,6.0,1027.7,-21.3,0.0,NNW,2.1,Nongzhanguan,2013-03-01 15:00:00
17,5.0,12.0,4.0,21.0,300.0,85.0,5.6,1027.7,-20.7,0.0,N,1.8,Nongzhanguan,2013-03-01 16:00:00
18,10.0,23.0,8.0,25.0,400.0,80.0,4.4,1028.2,-20.9,0.0,N,3.5,Nongzhanguan,2013-03-01 17:00:00
19,11.0,22.0,7.0,27.0,400.0,77.0,3.2,1029.4,-20.3,0.0,NNW,0.5,Nongzhanguan,2013-03-01 18:00:00
20,11.0,12.0,12.0,39.0,400.0,64.0,3.0,1030.1,-19.7,0.0,N,1.1,Nongzhanguan,2013-03-01 19:00:00
21,10.0,14.0,18.0,46.0,500.0,55.0,1.6,1031.3,-19.0,0.0,ENE,1.2,Nongzhanguan,2013-03-01 20:00:00
22,12.0,15.0,18.0,50.0,500.0,49.0,0.8,1032.4,-19.7,0.0,NE,1.0,Nongzhanguan,2013-03-01 21:00:00
23,17.0,20.0,20.0,56.0,600.0,43.0,0.1,1032.9,-19.2,0.0,ENE,1.8,Nongzhanguan,2013-03-01 22:00:00
24,6.0,17.0,17.0,41.0,500.0,57.0,-0.5,1032.8,-19.7,0.0,NE,2.1,Nongzhanguan,2013-03-01 23:00:00
25,13.0,13.0,12.0,40.0,500.0,57.0,-0.7,1033.0,-18.3,0.0,E,0.6,Nongzhanguan,2013-03-02 00:00:00
26,3.0,9.0,13.0,39.0,500.0,56.0,-1.6,1033.2,-17.4,0.0,ENE,0.0,Nongzhanguan,2013-03-02 01:00:00
30,3.0,6.0,9.0,42.0,400.0,50.0,-2.4,1032.1,-18.1,0.0,NNE,0.8,Nongzhanguan,2013-03-02 05:00:00
31,3.0,6.0,16.0,57.0,500.0,35.0,-2.3,1031.3,-18.4,0.0,N,1.5,Nongzhanguan,2013-03-02 06:00:00
32,3.0,7.0,33.0,61.0,500.0,32.0,-1.9,1031.9,-18.5,0.0,N,1.4,Nongzhanguan,2013-03-02 07:00:00
33,3.0,6.0,28.0,50.0,500.0,43.0,-0.9,1031.7,-18.0,0.0,NNE,1.6,Nongzhanguan,2013-03-02 08:00:00
34,3.0,13.0,26.0,39.0,500.0,54.0,0.1,1031.7,-18.1,0.0,NE,0.5,Nongzhanguan,2013-03-02 09:00:00
35,3.0,9.0,25.0,43.0,500.0,52.0,1.5,1031.2,-18.0,0.0,ENE,0.6,Nongzhanguan,2013-03-02 10:00:00
36,14.0,16.0,25.0,52.0,700.0,46.0,2.6,1030.2,-18.2,0.0,SW,3.1,Nongzhanguan,2013-03-02 11:00:00
37,18.0,19.0,24.0,75.0,1000.0,30.0,3.8,1029.0,-17.8,0.0,SSW,1.1,Nongzhanguan,2013-03-02 12:00:00
38,26.0,37.0,29.0,72.0,1000.0,35.0,3.8,1027.6,-17.8,0.0,S,1.0,Nongzhanguan,2013-03-02 13:00:00
39,33.0,42.0,24.0,59.0,800.0,48.0,3.9,1026.8,-18.3,0.0,SSW,0.4,Nongzhanguan,2013-03-02 14:00:00
40,24.0,42.0,27.0,58.0,1000.0,50.0,4.3,1026.2,-18.0,0.0,SSW,1.5,Nongzhanguan,2013-03-02 15:00:00
41,42.0,52.0,50.0,67.0,1300.0,44.0,4.1,1025.4,-16.9,0.0,SSW,1.9,Nongzhanguan,2013-03-02 16:00:00
42,54.0,66.0,51.0,72.0,1200.0,38.0,3.2,1025.3,-16.0,0.0,WSW,1.3,Nongzhanguan,2013-03-02 17:00:00
43,63.0,69.0,50.0,75.0,1100.0,34.0,2.2,1025.4,-15.8,0.0,NE,0.4,Nongzhanguan,2013-03-02 18:00:00
44,64.0,77.0,51.0,80.0,1200.0,28.0,1.6,1025.0,-15.4,0.0,N,0.1,Nongzhanguan,2013-03-02 19:00:00
