No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime
1,3.0,6.0,3.0,8.0,300.0,44.0,-0.9,1025.8,-20.5,0.0,NW,9.3,Shunyi,2013-03-01 00:00:00
2,12.0,12.0,3.0,7.0,300.0,47.0,-1.1,1026.1,-21.3,0.0,NW,9.4,Shunyi,2013-03-01 01:00:00
6,11.0,11.0,3.0,7.0,200.0,45.0,-2.8,1028.2,-22.1,0.0,NNW,1.7,Shunyi,2013-03-01 05:00:00
7,12.0,12.0,3.0,9.0,300.0,74.0,-4.0,1029.0,-21.2,0.0,NNE,1.6,Shunyi,2013-03-01 06:00:00
8,13.0,13.0,3.0,23.0,300.0,59.0,-2.4,1030.5,-21.3,0.0,NE,1.7,Shunyi,2013-03-01 07:00:00
9,8.0,8.0,3.0,19.0,400.0,66.0,-1.0,1031.2,-21.8,0.0,NNW,2.7,Shunyi,2013-03-01 08:00:00
10,3.0,6.0,3.0,21.0,400.0,60.0,0.0,1031.3,-22.9,0.0,SSW,0.8,Shunyi,2013-03-01 09:00:00
11,3.0,6.0,3.0,22.0,400.0,64.0,0.7,1031.3,-21.6,0.0,NNW,2.5,Shunyi,2013-03-01 10:00:00
12,6.0,6.0,3.0,16.0,300.0,67.0,1.7,1030.9,-21.5,0.0,NNW,1.4,Shunyi,2013-03-01 11:00:00
13,8.0,8.0,3.0,12.0,300.0,64.0,2.8,1030.1,-20.6,0.0,NE,2.1,Shunyi,2013-03-01 12:00:00
14,5.0,5.0,3.0,9.0,300.0,74.0,3.7,1028.9,-20.6,0.0,NE,2.1,Shunyi,2013-03-01 13:00:00
15,5.0,5.0,3.0,10.0,400.0,73.0,4.6,1028.6,-20.7,0.0,ENE,3.4,Shunyi,2013-03-01 14:00:00
16,8.0,8.0,3.0,11.0,400.0,75.0,5.2,1028.5,-20.2,0.0,NE,2.6,Shunyi,2013-03-01 15:00:00
17,7.0,7.0,3.0,12.0,400.0,73.0,4.9,1028.6,-20.4,0.0,NNE,1.0,Shunyi,2013-03-01 16:00:00
18,10.0,10.0,3.0,12.0,400.0,78.0,4.1,1029.0,-19.5,0.0,NNW,2.0,Shunyi,2013-03-01 17:00:00
19,3.0,6.0,3.0,18.0,400.0,76.0,2.3,1030.1,-17.3,0.0,NW,0.6,Shunyi,2013-03-01 18:00:00
20,3.0,8.0,3.0,21.0,400.0,71.0,1.6,1030.9,-19.0,0.0,N,1.9,Shunyi,2013-03-01 19:00:00
21,13.0,13.0,3.0,17.0,500.0,70.0,0.6,1031.9,-18.7,0.0,NE,2.0,Shunyi,2013-03-01 20:00:00
22,9.0,14.0,3.0,14.0,500.0,72.0,0.2,1032.8,-18.5,0.0,ENE,2.5,Shunyi,2013-03-01 21:00:00
23,5.0,11.0,3.0,11.0,400.0,74.0,-0.3,1033.4,-18.5,0.0,ENE,2.2,Shunyi,2013-03-01 22:00:00
24,9.0,11.0,3.0,8.0,400.0,78.0,-0.7,1033.1,-17.9,0.0,NE,2.8,Shunyi,2013-03-01 23:00:00
25,5.0,7.0,3.0,8.0,300.0,78.0,-1.0,1033.0,-18.1,0.0,NE,3.2,Shunyi,2013-03-02 00:00:00
26,3.0,6.0,3.0,8.0,300.0,76.0,-1.5,1033.7,-18.1,0.0,E,1.0,Shunyi,2013-03-02 01:00:00
27,4.0,4.0,3.0,8.0,300.0,77.0,-1.6,1033.3,-18.2,0.0,NE,2.1,Shunyi,2013-03-02 02:00:00
28,8.0,8.0,3.0,8.0,300.0,77.0,-2.0,1033.0,-18.1,0.0,NNE,1.4,Shunyi,2013-03-02 03:00:00
29,6.0,6.0,3.0,8.0,300.0,78.0,-2.5,1033.0,-17.7,0.0,N,1.7,Shunyi,2013-03-02 04:00:00
30,6.0,6.0,9.0,31.0,500.0,52.0,-3.1,1032.6,-17.1,0.0,N,0.7,Shunyi,2013-03-02 05:00:00
